Script started on 2022-10-22 17:19:53+03:00 [COMMAND="./TrainTest.sh" TERM="xterm-256color" TTY="/dev/pts/3" COLUMNS="94" LINES="21"]
loading training configuration: /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/config/training_conf9.dict
Training started with data from /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/RFiles/49s21Train.root and /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/RFiles/49s22Train.root
/home/kpapad/UG_thesis/my_env/lib/python3.10/site-packages/xgboost/sklearn.py:793: UserWarning: `early_stopping_rounds` in `fit` method is deprecated for better compatibility with scikit-learn, use `early_stopping_rounds` in constructor or`set_params` instead.
  warnings.warn(
[340]	validation_0-logloss:0.48458
[341]	validation_0-logloss:0.48398
[342]	validation_0-logloss:0.48343
[343]	validation_0-logloss:0.48291
[344]	validation_0-logloss:0.48260
[345]	validation_0-logloss:0.48226
[346]	validation_0-logloss:0.48177
[347]	validation_0-logloss:0.48134
[348]	validation_0-logloss:0.48090
[349]	validation_0-logloss:0.48024
[350]	validation_0-logloss:0.48003
[351]	validation_0-logloss:0.47970
[352]	validation_0-logloss:0.47923
[353]	validation_0-logloss:0.47901
[354]	validation_0-logloss:0.47851
[355]	validation_0-logloss:0.47781
[356]	validation_0-logloss:0.47705
[357]	validation_0-logloss:0.47653
[358]	validation_0-logloss:0.47604
[359]	validation_0-logloss:0.47547
[360]	validation_0-logloss:0.47497
[361]	validation_0-logloss:0.47446
[362]	validation_0-logloss:0.47412
[363]	validation_0-logloss:0.47334
[364]	validation_0-logloss:0.47265
[365]	validation_0-logloss:0.47236
[366]	validation_0-logloss:0.47186
[367]	validation_0-logloss:0.47126
[368]	validation_0-logloss:0.47082
[369]	validation_0-logloss:0.47018
[370]	validation_0-logloss:0.46961
[371]	validation_0-logloss:0.46923
[372]	validation_0-logloss:0.46889
[373]	validation_0-logloss:0.46832
[374]	validation_0-logloss:0.46784
[375]	validation_0-logloss:0.46738
[376]	validation_0-logloss:0.46693
[377]	validation_0-logloss:0.46651
[378]	validation_0-logloss:0.46624
[379]	validation_0-logloss:0.46577
[380]	validation_0-logloss:0.46532
[381]	validation_0-logloss:0.46485
[382]	validation_0-logloss:0.46445
[383]	validation_0-logloss:0.46414
[384]	validation_0-logloss:0.46338
[385]	validation_0-logloss:0.46291
[386]	validation_0-logloss:0.46251
[387]	validation_0-logloss:0.46214
[388]	validation_0-logloss:0.46160
[389]	validation_0-logloss:0.46118
[390]	validation_0-logloss:0.46057
[391]	validation_0-logloss:0.46034
[392]	validation_0-logloss:0.45990
[393]	validation_0-logloss:0.45953
[394]	validation_0-logloss:0.45924
[395]	validation_0-logloss:0.45857
[396]	validation_0-logloss:0.45791
[397]	validation_0-logloss:0.45765
[398]	validation_0-logloss:0.45726
[399]	validation_0-logloss:0.45693
[400]	validation_0-logloss:0.45648
[401]	validation_0-logloss:0.45608
[402]	validation_0-logloss:0.45559
[403]	validation_0-logloss:0.45506
[404]	validation_0-logloss:0.45448
[405]	validation_0-logloss:0.45396
[406]	validation_0-logloss:0.45332
[407]	validation_0-logloss:0.45302
[408]	validation_0-logloss:0.45270
[409]	validation_0-logloss:0.45205
[410]	validation_0-logloss:0.45165
[411]	validation_0-logloss:0.45116
[412]	validation_0-logloss:0.45084
[413]	validation_0-logloss:0.45023
[414]	validation_0-logloss:0.44976
[415]	validation_0-logloss:0.44922
[416]	validation_0-logloss:0.44882
[417]	validation_0-logloss:0.44808
[418]	validation_0-logloss:0.44765
[419]	validation_0-logloss:0.44712
[420]	validation_0-logloss:0.44667
[421]	validation_0-logloss:0.44619
[422]	validation_0-logloss:0.44565
[423]	validation_0-logloss:0.44509
[424]	validation_0-logloss:0.44456
[425]	validation_0-logloss:0.44430
[426]	validation_0-logloss:0.44393
[427]	validation_0-logloss:0.44351
[428]	validation_0-logloss:0.44312
[429]	validation_0-logloss:0.44269
[430]	validation_0-logloss:0.44227
[431]	validation_0-logloss:0.44187
[432]	validation_0-logloss:0.44159
[433]	validation_0-logloss:0.44103
[434]	validation_0-logloss:0.44052
[435]	validation_0-logloss:0.43992
[436]	validation_0-logloss:0.43959
[437]	validation_0-logloss:0.43887
[438]	validation_0-logloss:0.43824
[439]	validation_0-logloss:0.43759
[440]	validation_0-logloss:0.43713
[441]	validation_0-logloss:0.43679
[442]	validation_0-logloss:0.43638
[443]	validation_0-logloss:0.43591
[444]	validation_0-logloss:0.43538
[445]	validation_0-logloss:0.43498
[446]	validation_0-logloss:0.43457
[447]	validation_0-logloss:0.43426
[448]	validation_0-logloss:0.43386
[449]	validation_0-logloss:0.43340
[450]	validation_0-logloss:0.43306
[451]	validation_0-logloss:0.43278
[452]	validation_0-logloss:0.43213
[453]	validation_0-logloss:0.43183
[454]	validation_0-logloss:0.43145
[455]	validation_0-logloss:0.43090
[456]	validation_0-logloss:0.43039
[457]	validation_0-logloss:0.42998
[458]	validation_0-logloss:0.42961
[459]	validation_0-logloss:0.42915
[460]	validation_0-logloss:0.42864
[461]	validation_0-logloss:0.42826
[462]	validation_0-logloss:0.42780
[463]	validation_0-logloss:0.42735
[464]	validation_0-logloss:0.42691
[465]	validation_0-logloss:0.42653
[466]	validation_0-logloss:0.42613
[467]	validation_0-logloss:0.42579
[468]	validation_0-logloss:0.42542
[469]	validation_0-logloss:0.42502
[470]	validation_0-logloss:0.42440
[471]	validation_0-logloss:0.42406
[472]	validation_0-logloss:0.42340
[473]	validation_0-logloss:0.42286
[474]	validation_0-logloss:0.42245
[475]	validation_0-logloss:0.42197
[476]	validation_0-logloss:0.42140
[477]	validation_0-logloss:0.42108
[478]	validation_0-logloss:0.42069
[479]	validation_0-logloss:0.42025
[480]	validation_0-logloss:0.41986
[481]	validation_0-logloss:0.41938
[482]	validation_0-logloss:0.41906
[483]	validation_0-logloss:0.41849
[484]	validation_0-logloss:0.41820
[485]	validation_0-logloss:0.41793
[486]	validation_0-logloss:0.41756
[487]	validation_0-logloss:0.41720
[488]	validation_0-logloss:0.41682
[489]	validation_0-logloss:0.41653
[490]	validation_0-logloss:0.41614
[491]	validation_0-logloss:0.41571
[492]	validation_0-logloss:0.41535
[493]	validation_0-logloss:0.41496
[494]	validation_0-logloss:0.41433
[495]	validation_0-logloss:0.41390
[496]	validation_0-logloss:0.41375
[497]	validation_0-logloss:0.41327
[498]	validation_0-logloss:0.41279
[499]	validation_0-logloss:0.41239
[500]	validation_0-logloss:0.41193
[501]	validation_0-logloss:0.41140
[502]	validation_0-logloss:0.41119
[503]	validation_0-logloss:0.41084
[504]	validation_0-logloss:0.41048
[505]	validation_0-logloss:0.41008
[506]	validation_0-logloss:0.40970
[507]	validation_0-logloss:0.40920
[508]	validation_0-logloss:0.40868
[509]	validation_0-logloss:0.40824
[510]	validation_0-logloss:0.40810
[511]	validation_0-logloss:0.40757
[512]	validation_0-logloss:0.40709
[513]	validation_0-logloss:0.40669
[514]	validation_0-logloss:0.40609
[515]	validation_0-logloss:0.40572
[516]	validation_0-logloss:0.40534
[517]	validation_0-logloss:0.40498
[518]	validation_0-logloss:0.40463
[519]	validation_0-logloss:0.40426
[520]	validation_0-logloss:0.40388
[521]	validation_0-logloss:0.40347
[522]	validation_0-logloss:0.40305
[523]	validation_0-logloss:0.40273
[524]	validation_0-logloss:0.40228
[525]	validation_0-logloss:0.40196
[526]	validation_0-logloss:0.40169
[527]	validation_0-logloss:0.40133
[528]	validation_0-logloss:0.40075
[529]	validation_0-logloss:0.40039
[530]	validation_0-logloss:0.39996
